Line,TOTALES,__EMPTY_21,__EMPTY_22,__EMPTY_23,__EMPTY_24,April,__EMPTY_29,__EMPTY_34,__EMPTY_39,__EMPTY_44,__EMPTY_49,__EMPTY_54,__EMPTY_59,__EMPTY_64,__EMPTY_69,__EMPTY_74,__EMPTY_79,__EMPTY_84,__EMPTY_89,__EMPTY_94,__EMPTY_99,__EMPTY_104,__EMPTY_109,__EMPTY_114,__EMPTY_119,__EMPTY_124,__EMPTY_129,__EMPTY_134,__EMPTY_139,__EMPTY_144,__EMPTY_149,__EMPTY_154,__EMPTY_159,__EMPTY_164,__EMPTY_169,__EMPTY_174,SEM 14,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,SEM 15,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,SEM 16,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,SEM 17,__EMPTY_13,__EMPTY_14,__EMPTY_15,__EMPTY_16,SEM 18,__EMPTY_17,__EMPTY_18,__EMPTY_19,__EMPTY_20,__EMPTY_25,__EMPTY_26,__EMPTY_27,__EMPTY_28,__EMPTY_30,__EMPTY_31,__EMPTY_32,__EMPTY_33,__EMPTY_35,__EMPTY_36,__EMPTY_37,__EMPTY_38,__EMPTY_40,__EMPTY_41,__EMPTY_42,__EMPTY_43,__EMPTY_45,__EMPTY_46,__EMPTY_47,__EMPTY_48,__EMPTY_50,__EMPTY_51,__EMPTY_52,__EMPTY_53,__EMPTY_55,__EMPTY_56,__EMPTY_57,__EMPTY_58,__EMPTY_60,__EMPTY_61,__EMPTY_62,__EMPTY_63,__EMPTY_65,__EMPTY_66,__EMPTY_67,__EMPTY_68,__EMPTY_70,__EMPTY_71,__EMPTY_72,__EMPTY_73,__EMPTY_75,__EMPTY_76,__EMPTY_77,__EMPTY_78,__EMPTY_80,__EMPTY_81,__EMPTY_82,__EMPTY_83,__EMPTY_85,__EMPTY_86,__EMPTY_87,__EMPTY_88,__EMPTY_90,__EMPTY_91,__EMPTY_92,__EMPTY_93,__EMPTY_95,__EMPTY_96,__EMPTY_97,__EMPTY_98,__EMPTY_100,__EMPTY_101,__EMPTY_102,__EMPTY_103,__EMPTY_105,__EMPTY_106,__EMPTY_107,__EMPTY_108,__EMPTY_110,__EMPTY_111,__EMPTY_112,__EMPTY_113,__EMPTY_115,__EMPTY_116,__EMPTY_117,__EMPTY_118,__EMPTY_120,__EMPTY_121,__EMPTY_122,__EMPTY_123,__EMPTY_125,__EMPTY_126,__EMPTY_127,__EMPTY_128,__EMPTY_130,__EMPTY_131,__EMPTY_132,__EMPTY_133,__EMPTY_135,__EMPTY_136,__EMPTY_137,__EMPTY_138,__EMPTY_140,__EMPTY_141,__EMPTY_142,__EMPTY_143,__EMPTY_145,__EMPTY_146,__EMPTY_147,__EMPTY_148,__EMPTY_150,__EMPTY_151,__EMPTY_152,__EMPTY_153,__EMPTY_155,__EMPTY_156,__EMPTY_157,__EMPTY_158,__EMPTY_160,__EMPTY_161,__EMPTY_162,__EMPTY_163,__EMPTY_165,__EMPTY_166,__EMPTY_167,__EMPTY_168,__EMPTY_170,__EMPTY_171,__EMPTY_172,__EMPTY_173,__EMPTY_176,__EMPTY_177,__EMPTY_178,__EMPTY_179,__EMPTY_180,__EMPTY_181,OPERACIÓN,CODIGO DEFECTO,Descripción del Problema  ,__EMPTY,__EMPTY_175,__EMPTY_182,__EMPTY_183,__EMPTY_184,__EMPTY_185,__EMPTY_186
3. Defectivo diario - Trico PCB.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defectos,Scrap,Pruebas,Mtto,Proveedores,45748,45749,45750,45751,45752,45753,45754,45755,45756,45757,45758,45759,45760,45761,45762,45763,45764,45765,45766,45767,45768,45769,45770,45771,45772,45773,45774,45775,45776,45777,Total Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,COD,% W01,% W02,% W03,% W04,% W05,,,,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A, , ,,,,Proveedor Externo,A,Tarjeta Dañada (PCB),,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B, , ,,,,Proveedor Externo,B,Bridge Plate Dañado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C, , ,,,,Proveedor Externo,C,Resorte Dañado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D, , ,,,,Proveedor Externo,D,Caja de Escobilla Dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E, , ,,,,Proveedor Externo,F,Inductor Dañado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F, , ,,,,Proveedor Externo,G,Falta de Pulido en Inductor,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G, , ,,,,Proveedor Externo,H,Falta de ferrita en inductor,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H, , ,,,,Proveedor Externo,I,Ferrita Dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I, , ,,,,Proveedor Externo,J,Escobilla de Baja Velocidad dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J, , ,,,,Proveedor Externo,K,Escobilla de Alta Velocidad dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K, , ,,,,Proveedor Externo,L,Circuit breaker dañado  ,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L, , ,,,,Proveedor Externo,M,Terminal del Bridge Plate Dañado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M, , ,,,,Proveedor Externo,N,Varistor Dañado,,,,,,,
,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N, , ,,,,Proveedor Externo,O,Capacitor Dañado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O, , ,,,,Proveedor Externo,P,Retenedor Quemado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P, , ,,,,10,Q,Cable de Escobilla mal soldado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R, , ,,,,10,R,Hilos sueltos,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S, , ,,,,20,T,Mal prensado - Splice Dañado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T, , ,,,,20,U,Prensado abierto,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U, , ,,,,30,W,Caja de escobilla dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V, , ,,,,30,X,Caja de escobilla Floja ,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W, , ,,,,40,Y,Bridge plate Dañada ,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X, , ,,,,40,Z,Falta de Terminal en Bridge Plate,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y, , ,,,,40,AA,Terminal Desalineada ,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z, , ,,,,45,AB,Falta de dobles en Circuit Breaker,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA, , ,,,,50,AC,Terminal al Revés ,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB, , ,,,,50,AD,Resistencia dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC, , ,,,,50,AE,Falta de Capacitor (cable expuesto),,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AD, , ,,,,50,AF,Falta de Varistor,,,,,,,
