Line,TOTALES,__EMPTY_21,__EMPTY_22,__EMPTY_23,__EMPTY_24,April,__EMPTY_29,__EMPTY_34,__EMPTY_39,__EMPTY_44,__EMPTY_49,__EMPTY_54,__EMPTY_59,__EMPTY_64,__EMPTY_69,__EMPTY_74,__EMPTY_79,__EMPTY_84,__EMPTY_89,__EMPTY_94,__EMPTY_99,__EMPTY_104,__EMPTY_109,__EMPTY_114,__EMPTY_119,__EMPTY_124,__EMPTY_129,__EMPTY_134,__EMPTY_139,__EMPTY_144,__EMPTY_149,__EMPTY_154,__EMPTY_159,__EMPTY_164,__EMPTY_169,__EMPTY_174,SEM 14,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,SEM 15,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,SEM 16,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,SEM 17,__EMPTY_13,__EMPTY_14,__EMPTY_15,__EMPTY_16,SEM 18,__EMPTY_17,__EMPTY_18,__EMPTY_19,__EMPTY_20,__EMPTY_25,__EMPTY_26,__EMPTY_27,__EMPTY_28,__EMPTY_30,__EMPTY_31,__EMPTY_32,__EMPTY_33,__EMPTY_35,__EMPTY_36,__EMPTY_37,__EMPTY_38,__EMPTY_40,__EMPTY_41,__EMPTY_42,__EMPTY_43,__EMPTY_45,__EMPTY_46,__EMPTY_47,__EMPTY_48,__EMPTY_50,__EMPTY_51,__EMPTY_52,__EMPTY_53,__EMPTY_55,__EMPTY_56,__EMPTY_57,__EMPTY_58,__EMPTY_60,__EMPTY_61,__EMPTY_62,__EMPTY_63,__EMPTY_65,__EMPTY_66,__EMPTY_67,__EMPTY_68,__EMPTY_70,__EMPTY_71,__EMPTY_72,__EMPTY_73,__EMPTY_75,__EMPTY_76,__EMPTY_77,__EMPTY_78,__EMPTY_80,__EMPTY_81,__EMPTY_82,__EMPTY_83,__EMPTY_85,__EMPTY_86,__EMPTY_87,__EMPTY_88,__EMPTY_90,__EMPTY_91,__EMPTY_92,__EMPTY_93,__EMPTY_95,__EMPTY_96,__EMPTY_97,__EMPTY_98,__EMPTY_100,__EMPTY_101,__EMPTY_102,__EMPTY_103,__EMPTY_105,__EMPTY_106,__EMPTY_107,__EMPTY_108,__EMPTY_110,__EMPTY_111,__EMPTY_112,__EMPTY_113,__EMPTY_115,__EMPTY_116,__EMPTY_117,__EMPTY_118,__EMPTY_120,__EMPTY_121,__EMPTY_122,__EMPTY_123,__EMPTY_125,__EMPTY_126,__EMPTY_127,__EMPTY_128,__EMPTY_130,__EMPTY_131,__EMPTY_132,__EMPTY_133,__EMPTY_135,__EMPTY_136,__EMPTY_137,__EMPTY_138,__EMPTY_140,__EMPTY_141,__EMPTY_142,__EMPTY_143,__EMPTY_145,__EMPTY_146,__EMPTY_147,__EMPTY_148,__EMPTY_150,__EMPTY_151,__EMPTY_152,__EMPTY_153,__EMPTY_155,__EMPTY_156,__EMPTY_157,__EMPTY_158,__EMPTY_160,__EMPTY_161,__EMPTY_162,__EMPTY_163,__EMPTY_165,__EMPTY_166,__EMPTY_167,__EMPTY_168,__EMPTY_170,__EMPTY_171,__EMPTY_172,__EMPTY_173,__EMPTY_176,__EMPTY_177,__EMPTY_178,__EMPTY_179,__EMPTY_180,__EMPTY_181,OPERACIÓN,CODIGO DEFECTO,Descripción del Problema  ,__EMPTY,__EMPTY_175,__EMPTY_182,__EMPTY_183,__EMPTY_184,__EMPTY_185,__EMPTY_186
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,DW,Terminal de Componente sin Cortar,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,DX,Falta de Resorte,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,DY,Doble Resorte,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,DZ,Resorte Mal Ensamblado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,EA,Falta de Impresión de Fecha,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,EB,Mala Impresión de Fecha,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,EC,Retenedor mal colocado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,ED,Caja Abierta,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,EE,Capacitor con Falta de Material (dañado),,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC, , ,,,,150,EF,Caja de Escobilla Abierta,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DD, , ,,,,150,EG,Falta de Soldadura en Torre,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE, , ,,,,150,EH,Torre Desalineada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF, , ,,,,150,EI,Terminal Dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DG, , ,,,,150,EJ,Soldadura en Orificio de Tierra,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DH, , ,,,,150,EK,Falta de Número Juliano,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI, , ,,,,150,EL,Inductor Mezclado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DJ, , ,,,,150,EM,Otro (Especificar),,,,,,,
,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,150,,,Defectos Totales,,,,,,
,1920,1920,1920,1920,1920,,,,,,,,,,,,,,1920,,,,,,,,,,,,,,,,,0,0,,,,,1920,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,Produccion Total,,,,,,
,0,0,0,0,9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,Total PPM´s,,,,,,
,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,Meta Mensual,,,,,,
6. Defectivo diario - Mitsubishi.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defectos,Scrap,Pruebas,Mtto,Proveedores,45748,45749,45750,45751,45752,45753,45754,45755,45756,45757,45758,45759,45760,45761,45762,45763,45764,45765,45766,45767,45768,45769,45770,45771,45772,45773,45774,45775,45776,45777,45747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Count,,,,,,,,,,,,
,,,,,,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Pruebas,Mtto,Proveedores,,,COD,,,,,Scrap,% W01,% W02,% W03,% W04,% W05
,13,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,19,0,0,0,0,9,0,0,0,13,0,0,0,0,,0,0,0,0,4,,,,2,,,,4,,,,2,,,,1,,,,,,,,5,,,,3,,,,2,,,,3,,,,3,,,,2,,,,,,,,2,,,,5,,,,4,,,,6,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,A,Proveedor Externo,A,Terminal dañada,,, , ,,,
,13,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,18,0,0,0,0,10,0,0,0,13,0,0,0,0,,0,0,0,0,7,,,,3,,,,3,,,,2,,,,3,,,,,,,,2,,,,1,,,,2,,,,3,,,,2,,,,2,,,,,,,,5,,,,3,,,,3,,,,2,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,B,Proveedor Externo,B,Resorte Dañado,,, , ,,,
,10,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,17,0,0,0,0,7,0,0,0,10,0,0,0,0,,0,0,0,0,7,,,,5,,,,6,,,,4,,,,1,,,,,,,,10,,,,12,,,,9,,,,1,,,,2,,,,1,,,,,,,,8,,,,2,,,,3,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,C,Proveedor Externo,C,Escobilla dañada,,, , ,,,
,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,D,Proveedor Externo,D,Escobilla grande,,, , ,,,
,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,E,Proveedor Externo,E,Escobilla pequeña,,, , ,,,
,20,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,34,0,0,0,0,14,0,0,0,20,0,0,0,0,,0,0,0,0,3,,,,2,,,,3,,,,1,,,,1,,,,,,,,5,,,,4,,,,3,,,,6,,,,7,,,,5,,,,,,,,4,,,,6,,,,6,,,,10,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,F,Proveedor Externo,F,Slinger Dañado,,, , ,,,
,2,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,,0,0,0,0,6,,,,2,,,,2,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,G,Proveedor Externo,G,Slinger Quemado,,, , ,,,
,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,H,Proveedor Externo,H,Slinger Contaminado,,, , ,,,
,32,144,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,0,0,0,0,54,0,0,0,0,23,0,0,0,32,0,0,0,0,,0,0,0,0,9,,,,7,,,,10,,,,7,,,,6,,,,,,,,10,,,,12,,,,6,,,,9,,,,10,,,,9,,,,,,,,9,,,,8,,,,9,,,,12,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,I,Op 10,I,Brush holder dañado ,,, , ,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,J,Op 20,J,Resorte dañado,,, , ,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,K,Op 20,K,Doble resorte,,, , ,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,L,Op 20,L,Falta de resorte,,, , ,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,M,Op 30,M,Ensamble escobilla 1,,, , ,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,N,Op 30,N,Escobilla quebreda,,, , ,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,O,Op 30,Ñ,Escobilla grande,,, , ,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,P,Op 30,O,Escobilla chica,,, , ,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,R,Op 30,P,Cable dañado,,, , ,,,
