Date de création,Type,Catégorie,Équipe,Produit,Ligne,Famille,Défaut,Qte défaut,"Phase d'origine",Phase de détection
2025-04-24,Scrap,reglage,A Midi,PPC FLEX 2,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,6,Sertissage lamme boitier et boutrollage Flex-2,Mise en place condo axial-Flex2
2025-04-24,Scrap,process,A Midi,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,soudure étain manuelle,soudure étain manuelle
2025-04-24,Scrap,formation,A Midi,PPC MNG2 2L2C,Mng 2.2,MNG,connecteur mal enclipsé,2,Poste de pose connecteur et pliage bornes,Poste de pose connecteur et pliage bornes
2025-04-24,Scrap,reglage,A Midi,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,2,poste de montage reteneur,poste de montage reteneur
2025-04-24,Scrap,process,A Midi,PPC MNG2 2L2C,Mng 2.2,MNG,piste mal sertie,8,Sertissage et deshuntage des plaquettes sur la piste_44,Sertissage et deshuntage des plaquettes sur la piste_44
2025-04-24,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,1,soudure self terminals,soudure self terminals
2025-04-24,Scrap,formation,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/terminaux décalé,3,soudure électrique condo 1 & terminal 1,Controle Finale GENII C
2025-04-24,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,balai bloqué,1,sertissage guides GEN2 C,Test force GENIIC
2025-04-25,Scrap,reglage,Matin,SIM II,sim 2,SIM,boitier cassé,12,insertion rotule,insertion rotule
2025-04-25,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,Controle Finale GENII C
2025-04-25,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-25,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,Controle Finale GENII C
2025-04-25,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-25,Scrap,reglage,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,4,Sertissage et deshuntage des plaquettes sur la piste_44,Sertissage et deshuntage des plaquettes sur la piste_44
2025-04-25,Scrap,process,Matin,BACK UP ANTENNA K0,back up antenna,BACK UP ANTENNA,Fil débobiné,2,BUA controle vision,BUA Soudure étain des terminals
2025-04-25,Scrap,process,Matin,BACK UP ANTENNA K0,back up antenna,BACK UP ANTENNA,"Exés d'étain sur fil",1,BUA controle vision,BUA Soudure étain des terminals
2025-04-25,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,soudure étain manuelle,POSTE DE CONTRÔLE PARTIE A
2025-04-25,Scrap,process,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,soudure écrasé,1,soudure électrique rivet et 3éme self,soudure électrique rivet et 3éme self
2025-04-25,Scrap,formation,Matin,PPC MNG2 2L2C,Mng 2.2,MNG,plaquette cassée,1,Test électrique,Test électrique
2025-04-25,Scrap,process,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,reteneur.. cassé,3,montage composants sur convoyeur,montage composants sur convoyeur
2025-04-25,Scrap,process,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure électrique 3éme self & PTH,soudure électrique 3éme self & PTH
2025-04-25,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Patte de masse déformée,1,Chargement - déchargement boitiersur palette,Controle finale partie C
2025-04-25,Scrap,process,Matin,PPC VM4/ HORAIRE,VM4 AUTO I,VM4,soudure écrasé,3,soudure électrique 3éme self & PDM,soudure électrique 3éme self & PDM
2025-04-25,Scrap,process,Matin,PPC VM4/ HORAIRE,VM4 AUTO I,VM4,reteneur.. cassé,3,montage composants sur convoyeur,montage composants sur convoyeur
2025-04-25,Scrap,process,Matin,PPC VM4/ HORAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure tresse/self M1,soudure tresse/self M1
2025-04-25,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,3,robot  de brasage,robot  de brasage
2025-04-25,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,marquage décalé,2,Test électrique Flex 2,Chargement et déchargement boitier sur palette_Flex 2
2025-04-25,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Soudure self éclaté,4,soudure électrique self / shunt  sur lame Flex2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-25,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Soudure self  écrasée,5,soudure électrique self / shunt  sur lame Flex2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-25,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,boitier cassé,3,Enfonçage de la rotule sur le boîtier,
2025-04-25,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,marquage illisible,4,identification de pièce par marquage,identification de pièce par marquage
2025-04-25,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,patte de masse tordue,2,Boutollage PDM,
2025-04-25,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Soudure self / PTH écrasé,3,"Soudure électrique self/contact, self/thermoswitch et thermoswitch/contact",Controle final et emballage
2025-04-25,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Soudure self / contact écrasé,3,"Soudure électrique self/contact, self/thermoswitch et thermoswitch/contact","Soudure électrique self/contact, self/thermoswitch et thermoswitch/contact"
2025-04-25,Scrap,process,Matin,CM4-ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (2) endommagé,2,soudure fourchette /ICH/ resistance/ condo,controle finale
2025-04-25,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Contact moteur déformé,3,Test électrique,Controle final et emballage
2025-04-25,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Guide abimé,1,Sertissage guide et montage reteneur,Controle final et emballage
2025-04-25,Scrap,process,Matin,B8,B8,B8,condo coupé,1,Soudure condensateur sur connecteur,controle finale & conditionnement
2025-04-25,Scrap,process,Matin,B8,B8,B8,Platine cassé,1,déschuntage platine,controle finale & conditionnement
2025-04-25,Scrap,reglage,Matin,T7,T7,Engine Cooling,Platine cassé,12,déschuntage platine,déschuntage platine
2025-04-25,Scrap,process,A Midi,CM4-ligne 2,CM3-CM4 Ligne 2,CM4,vernis sur boitier,1,Vernissage automatique,retournement
2025-04-25,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Boîtier cassé,3,Test électrique,Test électrique
2025-04-25,Scrap,process,A Midi,CM4-ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (3) endommagé,1,soudure fourchette /ICHall/ resistance,test electrique
2025-04-25,Scrap,process,A Midi,CM4-ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (2) endommagé,1,soudure fourchette /ICH/ resistance/ condo,test electrique
2025-04-25,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Mauvaise marquage,2,Test électrique,Test électrique
2025-04-25,Scrap,process,A Midi,PPC VM4/HORAIRE,VM4 AUTO II,VM4,bakélite cassé,5,Combrage self,Combrage self
2025-04-25,Scrap,reglage,A Midi,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,4,robot  de brasage,robot  de brasage
2025-04-25,Scrap,process,A Midi,ligne 2,Preparation CM4,CM4,Boitier endommagée,17,sertissage de 2 contacts +fourchette,chargement et déchargement
2025-04-25,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Languette tordue,2,Chargement - déchargement boitiersur palette,"Soudure à l'étain"
2025-04-25,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,2,soudure électrique self sur lame,CF partie B
2025-04-25,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Mauvais bouterollage lame balai,3,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-25,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Soudure self  écrasée,3,soudure électrique self / shunt  sur lame Flex2,Controle finale Flex 2 partie B
2025-04-25,Scrap,process,A Midi,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,2,soudure étain manuelle,soudure étain manuelle
2025-04-25,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,6,Sertissage lamme boitier et boutrollage Flex-2,Mise en place condo axial-Flex2
2025-04-25,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Double marquage,2,Test électrique Flex 2,Test électrique Flex 2
2025-04-25,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Boîtier cassé,3,Boutrollage condo axial-Flex 2,Controle soudure condo axiale et boutrollage
2025-04-25,Scrap,process,A Midi,SIM II,sim 2,SIM,boitier cassé,9,déclenchement balais +conformage tresse,déclenchement balais +conformage tresse
2025-04-25,Scrap,process,A Midi,SIM II,sim 2,SIM,boitier cassé,6,insertion auto de s/e+rotule,insertion auto de s/e+rotule
2025-04-25,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,languettes cassés,1,soudure self terminals,soudure électrique balais 3 et self 3
2025-04-25,Scrap,process,A Midi,SIM II,sim 2,SIM,marquage illisible,5,test electrique,test electrique
2025-04-25,Scrap,process,A Midi,V420284 SIM ELEC,Sim Elec,SIM ELEC,boitier cassé,7,insertion automatique de s/e,insertion automatique de s/e
2025-04-25,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,languettes cassés,1,soudure électrique contact self 3 OU PTH SELF,Test force GENIIC
2025-04-25,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,contact négatif déformé,1,Test force GENIIC,Test électrique et controle caméra GENII C
2025-04-26,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Soudure self éclaté,3,soudure électrique self / shunt  sur lame Flex2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-26,Scrap,reglage,Matin,SIM II,sim 2,SIM,boitier cassé,5,insertion rotule,insertion rotule
2025-04-26,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,5,Sertissage lamme boitier et boutrollage Flex-2,Mise en place condo axial-Flex2
2025-04-26,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Soudure self  écrasée,5,soudure électrique self / shunt  sur lame Flex2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-26,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,soudure condo écrasé,5,Boutrollage condo axial-Flex 2,Controle soudure condo axiale et boutrollage
2025-04-26,Scrap,process,Matin,ligne 2,Preparation CM4,CM4,Boitier endommagée,4,sertissage de 2 contacts +fourchette,retournement
2025-04-26,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,4,robot  de brasage,robot  de brasage
2025-04-26,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,3,robot  de brasage,robot  de brasage
2025-04-26,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.2,MNG,plaquette cassée,1,soudure étain manuelle,soudure étain manuelle
2025-04-26,Scrap,process,Matin,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (1) endommagé,2,soudure fourchette /ICH/ condo,controle aspect soudure
2025-04-26,Scrap,process,Matin,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (3) endommagé,1,soudure fourchette /ICHall/ resistance,controle aspect soudure
2025-04-26,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,Test électrique,Test électrique
2025-04-26,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Contact moteur déformé,2,Test électrique,Controle final et emballage
2025-04-26,Scrap,process,Matin,PPC VM4/HORAIRE,VM4 AUTO I,VM4,soudure écrasé,1,soudure électrique 3éme self & PTH,soudure électrique 3éme self & PTH
2025-04-26,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Soudure self / PTH écrasé,2,"Soudure électrique self/contact, self/thermoswitch et thermoswitch/contact",Controle final et emballage
2025-04-26,Scrap,process,Matin,PPC VM4/HORAIRE,VM4 AUTO I,VM4,soudure écrasé,1,soudure tresse/self M1,soudure tresse/self M1
2025-04-26,Scrap,process,Matin,PPC VM4/ HORAIRE,VM4 AUTO I,VM4,contact déformé,2,montage composants sur convoyeur,boutrollage et test électrique et caméra
2025-04-26,Scrap,process,Matin,503.996,DCK,DCK,Guide écrasée,4,montage guide balai,montage guide balai
2025-04-26,Scrap,process,Matin,PPC VM4/ HORAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure tresse/self M1,soudure tresse/self M1
2025-04-26,Scrap,process,Matin,503.996,DCK,DCK,Bakelite cassé,4,montage guide balai,montage guide balai
2025-04-26,Scrap,process,Matin,PPC VM4/ HORAIRE,VM4 AUTO I,VM4,soudure écrasé,1,soudure électrique rivet et 3éme self,soudure électrique rivet et 3éme self
2025-04-26,Scrap,process,Matin,503.996,DCK,DCK,soudure self connexion1 écrsé,2,soudure  self connection 2,montage 2 selfs /soudure self connection
2025-04-26,Scrap,reglage,Matin,V504-519.,B8,B8,soudure connecteur éclaté,1,soudure connecteur sur platine,soudure connecteur sur platine
2025-04-26,Scrap,reglage,A Midi,PPC VM4/HORAIRE,VM4 AUTO II,VM4,bakélite cassé,3,Combrage self,Combrage self
2025-04-26,Scrap,reglage,A Midi,V504-519.,B8,B8,condo coupé,1,soudure condo sur platine,soudure condo sur platine
2025-04-26,Scrap,reglage,A Midi,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,3,robot  de brasage,robot  de brasage
2025-04-26,Scrap,reglage,A Midi,V504-519.,B8,B8,soudure connecteur écrasé,4,soudure connecteur sur platine,soudure connecteur sur platine
2025-04-26,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Mauvaise marquage,1,Test électrique,Test électrique
2025-04-26,Scrap,process,A Midi,V420284 SIM ELEC,Sim Elec,SIM ELEC,boitier cassé,6,insertion automatique de s/e,insertion automatique de s/e
2025-04-26,Scrap,process,A Midi,SIM II,sim 2,SIM,boitier cassé,5,insertion rotule,insertion auto de s/e+rotule
2025-04-26,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,2,soudure électrique self sur lame,MEP condo  + Retournement boitier
2025-04-26,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Languette tordue,2,Chargement - déchargement boitiersur palette,"Soudure à l'étain"
2025-04-26,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,soudure condo écrasé,1,soudure électrique condo sur lame,Montage self / lame
2025-04-26,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Patte de masse déformée,1,Chargement - déchargement boitiersur palette,CF partie B
2025-04-26,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,3,Sertissage lamme boitier et boutrollage Flex-2,Mise en place condo axial-Flex2
2025-04-26,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Mauvaise  marquage,3,Test électrique Flex 2,Controle finale Flex 2 partie B
2025-04-26,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Soudure self  écrasée,3,soudure électrique self / shunt  sur lame Flex2,Controle finale Flex 2 partie B
2025-04-26,Scrap,process,A Midi,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (2) endommagé,1,soudure fourchette /ICH/ resistance/ condo,test electrique
2025-04-26,Scrap,process,A Midi,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Marquage non conforme,1,controle vision,controle vision
2025-04-26,Scrap,process,A Midi,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,PDM endommagée,1,vernissage automatique,Montage PCB
2025-04-27,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Mauvaise marquage,3,Test électrique,Test électrique
2025-04-27,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Boîtier cassé,1,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-27,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Mauvais bouterollage lame balai,2,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-27,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,3,soudure électrique self sur lame,MEP condo  + Retournement boitier
2025-04-27,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Languette tordue,2,Chargement - déchargement boitiersur palette,"Soudure à l'étain"
2025-04-27,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Patte de masse déformée,1,Chargement - déchargement boitiersur palette,CF partie B
2025-04-27,Scrap,process,Matin,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (1) endommagé,1,soudure fourchette /ICH/ condo,controle aspect soudure
2025-04-27,Scrap,process,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Self déformée,48,Verrouillage self / tresse,Déchargement palette
2025-04-27,Scrap,reglage,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Platine cassé,4,Verrouillage self / tresse,Déchargement palette
2025-04-27,Scrap,process,Matin,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Marquage non conforme,1,controle vision,controle aspect soudure
2025-04-27,Scrap,process,Matin,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,fouechette endommagé1,1,soudure self fourchette,controle aspect soudure
2025-04-27,Scrap,process,Matin,B8,B8,B8,condo écrasé,1,soudure condo sur connecteur,controle finale & conditionnement
2025-04-27,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,2,Test électrique et controle caméra GENII C,Controle Finale GENII C
2025-04-27,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,languettes cassés,1,sertissage guides GEN2 C,soudure électrique balais 1 et self 1
2025-04-27,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,guide mal sertie,2,sertissage guides GEN2 C,Test force GENIIC
2025-04-27,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/EMC écrasé,2,Soudure électrique de 2 pattes condo et contact EMC,Controle Finale GENII C
2025-04-27,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique contact self 3 OU PTH SELF,soudure électrique contact self 3 OU PTH SELF